Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
AddInteger/ExMemory 0/ExMemory 432,1.9859057887433674e-5,1.9758474069229086e-5,2.0032645278369926e-5,4.344172757423239e-7,2.6215429173265153e-7,6.976749435359751e-7
AddInteger/ExMemory 0/ExMemory 865,2.4192246650331095e-5,2.4027039575628824e-5,2.4690680224880098e-5,8.419642663054657e-7,2.8669334250049634e-7,1.680280693015787e-6
AddInteger/ExMemory 0/ExMemory 1731,3.007993201176815e-5,2.996544954017777e-5,3.0276989569437748e-5,5.085665831198504e-7,2.9786642020320367e-7,7.923992142683507e-7
AddInteger/ExMemory 1/ExMemory 0,1.7253449612123542e-5,1.7006049096953773e-5,1.790517226733152e-5,1.2529181715934184e-6,5.157649856114694e-7,2.377948039756437e-6
AddInteger/ExMemory 1/ExMemory 0,1.6919519356731854e-5,1.683881712151038e-5,1.721898115573321e-5,4.837236659255102e-7,1.6093838153696326e-7,9.67729789796831e-7
AddInteger/ExMemory 1/ExMemory 0,1.6833781840734823e-5,1.6787872282693816e-5,1.6874659677072097e-5,1.5298811746678167e-7,1.1662200113307469e-7,2.273851535511523e-7
AddInteger/ExMemory 1/ExMemory 0,1.6948254062874276e-5,1.6863032438589332e-5,1.7075891410142883e-5,3.5625651102614646e-7,2.0006347195659097e-7,5.118722671016682e-7
AddInteger/ExMemory 1/ExMemory 0,1.7070291569276766e-5,1.689574647825873e-5,1.767111438096989e-5,9.163689435462546e-7,2.856632015407347e-7,1.976628148273667e-6
AddInteger/ExMemory 1/ExMemory 1,1.7862918951969993e-5,1.7701934206753062e-5,1.83566939491115e-5,8.167719997244819e-7,3.2078547830421803e-7,1.6770997250032617e-6
AddInteger/ExMemory 1/ExMemory 3,1.8004810943043205e-5,1.7791671565752972e-5,1.8513041579546762e-5,1.095360920897235e-6,2.81909677171259e-7,2.2088403374745634e-6
AddInteger/ExMemory 1/ExMemory 6,1.785782451258641e-5,1.7740338341815088e-5,1.8159268238411514e-5,5.744442173226362e-7,2.793472401185708e-7,1.0777202970060503e-6
AddInteger/ExMemory 1/ExMemory 13,1.789222593162511e-5,1.773480791561381e-5,1.8276547749774756e-5,7.610266265114394e-7,2.852060133465391e-7,1.2582092808200307e-6
AddInteger/ExMemory 1/ExMemory 27,1.795211712615855e-5,1.783708427656625e-5,1.8176473926066306e-5,5.151926644833771e-7,3.2781519620450755e-7,7.314186108971072e-7
AddInteger/ExMemory 1/ExMemory 54,1.8144361679220567e-5,1.802048902634858e-5,1.8465703280913462e-5,5.936645220239092e-7,2.256252360549263e-7,1.2359833966108277e-6
AddInteger/ExMemory 1/ExMemory 108,1.8413611647626707e-5,1.8312643894739143e-5,1.857385816561255e-5,4.2226403364450704e-7,2.513531899757973e-7,7.277610829119194e-7
AddInteger/ExMemory 1/ExMemory 216,1.9279247326782735e-5,1.90811239008784e-5,1.9806970599366914e-5,9.457056987515215e-7,4.432969452662882e-7,1.5940100707372333e-6
AddInteger/ExMemory 1/ExMemory 432,2.0990640087234312e-5,2.0586855103341992e-5,2.1638757540896486e-5,1.659736583753675e-6,8.754575073541094e-7,2.7351265649429286e-6
AddInteger/ExMemory 1/ExMemory 865,2.5459602705210102e-5,2.51864766340327e-5,2.6566727883358035e-5,1.6039574717891554e-6,4.128723251413596e-7,3.2906547617585864e-6
AddInteger/ExMemory 1/ExMemory 1731,3.130304871414988e-5,3.103628029991447e-5,3.195895232077587e-5,1.2980480498026823e-6,5.259205589224075e-7,2.4821896659245176e-6
AddInteger/ExMemory 3/ExMemory 0,1.7432546650081035e-5,1.7101553382206484e-5,1.832064432412756e-5,1.6034116601603073e-6,6.398171660253367e-7,3.182541879652864e-6
AddInteger/ExMemory 3/ExMemory 0,1.7171915098139672e-5,1.695115214202585e-5,1.7839517922260502e-5,1.068515558737912e-6,3.6917546646098047e-7,2.0055584711271593e-6
AddInteger/ExMemory 3/ExMemory 0,1.733285072540251e-5,1.706617636404256e-5,1.8297126067859535e-5,1.488574666582737e-6,3.842797281047532e-7,3.3290976269999886e-6
AddInteger/ExMemory 3/ExMemory 0,1.7053608736896713e-5,1.692732123819699e-5,1.7377521000565925e-5,5.995506960102214e-7,3.2547158598192913e-7,1.0193232812088707e-6
AddInteger/ExMemory 3/ExMemory 0,1.7089139796989572e-5,1.691221043564236e-5,1.737800315359273e-5,7.37482650020767e-7,4.31400575216267e-7,1.2178537391752014e-6
AddInteger/ExMemory 3/ExMemory 1,1.8036476746626356e-5,1.773618859960407e-5,1.8558045615381993e-5,1.3175738265135224e-6,7.841272015159919e-7,2.258603036525798e-6
AddInteger/ExMemory 3/ExMemory 3,1.7831537224655718e-5,1.7624028568359286e-5,1.826195679646452e-5,9.396497802412085e-7,4.770851895353933e-7,1.5365221584952593e-6
AddInteger/ExMemory 3/ExMemory 6,1.76644476383522e-5,1.758919633206922e-5,1.7791104377656542e-5,3.1567189617527914e-7,1.855281208565033e-7,5.371694760209352e-7
AddInteger/ExMemory 3/ExMemory 13,1.80283384025505e-5,1.7851075068570896e-5,1.8339823406443193e-5,8.135738547264242e-7,4.7408889238387373e-7,1.2019874098415076e-6
AddInteger/ExMemory 3/ExMemory 27,1.8114859294630974e-5,1.7838740539872975e-5,1.8645609066079057e-5,1.220437525957016e-6,6.716594558722731e-7,1.8912037970414156e-6
AddInteger/ExMemory 3/ExMemory 54,1.7931849826296867e-5,1.7853502973271106e-5,1.8078505049236152e-5,3.30495752638805e-7,1.6678278145988912e-7,6.080850179440269e-7
AddInteger/ExMemory 3/ExMemory 108,1.8599945984119823e-5,1.834148702569761e-5,1.9652487302663893e-5,1.4801779486419712e-6,3.6012099017199985e-7,3.2738605961055576e-6
AddInteger/ExMemory 3/ExMemory 216,1.8988600338683373e-5,1.8908742196076732e-5,1.9084062345537284e-5,2.9938230108268636e-7,2.2429391784253674e-7,4.4428984536360243e-7
AddInteger/ExMemory 3/ExMemory 432,2.088890172691831e-5,2.049750846184287e-5,2.1881638330818755e-5,1.946587830634578e-6,9.569373675311428e-7,3.412192426197518e-6
AddInteger/ExMemory 3/ExMemory 865,2.5230318396299974e-5,2.5089758984620998e-5,2.5403474240869523e-5,4.910064094536341e-7,3.3216251165368283e-7,7.005702461974655e-7
AddInteger/ExMemory 3/ExMemory 1731,3.127060653321976e-5,3.10408777366761e-5,3.180293603076682e-5,1.094179388565887e-6,5.552822258790295e-7,1.764151756173217e-6
