Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DivideInteger/ExMemory 13/ExMemory 0,2.0333981463593018e-6,1.9507737750128684e-6,2.1192002233802933e-6,2.805027968794816e-7,2.3088614654050778e-7,3.1582862277041836e-7
DivideInteger/ExMemory 13/ExMemory 1,2.0347048502143004e-6,1.947513057794407e-6,2.13788167173768e-6,2.7861289697428864e-7,2.4170235972316807e-7,3.2531316723347896e-7
DivideInteger/ExMemory 13/ExMemory 3,1.6723676014933151e-6,1.6397653962597266e-6,1.7625137121142184e-6,1.9235345813081243e-7,1.464676783620145e-7,2.9470603989160573e-7
DivideInteger/ExMemory 13/ExMemory 6,1.7890200931814098e-6,1.7323300049981268e-6,1.8595736114381865e-6,2.275801641798935e-7,1.8668343575840016e-7,2.960551150161055e-7
DivideInteger/ExMemory 13/ExMemory 13,2.1325780415972213e-6,2.010128843243912e-6,2.273952391244353e-6,3.9760325794985594e-7,3.2405241681968815e-7,5.281971497281072e-7
DivideInteger/ExMemory 13/ExMemory 26,1.8282884551383498e-6,1.8020342617227744e-6,1.8752694148051705e-6,1.1431789146234376e-7,8.5446511279263e-8,1.5173691130711043e-7
DivideInteger/ExMemory 13/ExMemory 264,1.7586545022545083e-6,1.6698198526170486e-6,1.8630048290103387e-6,3.090728077679773e-7,2.513965093458472e-7,3.872572473710582e-7
DivideInteger/ExMemory 13/ExMemory 2641,1.8103359257541677e-6,1.7397795548886746e-6,1.8773041991117587e-6,2.386851110795251e-7,1.6610452065590472e-7,2.9426961225537103e-7
DivideInteger/ExMemory 13/ExMemory 26416,1.9014919230493381e-6,1.8292106307874433e-6,1.9893323877835965e-6,2.778314849341637e-7,1.9476971495107902e-7,3.830752746126515e-7
DivideInteger/ExMemory 13/ExMemory 264160,1.733488847623247e-6,1.6573772257013434e-6,1.8381092966833136e-6,2.8434504515514896e-7,2.430593251920678e-7,3.4068978028529685e-7
DivideInteger/ExMemory 13/ExMemory 2641604,1.9232634790413446e-6,1.8490633737416413e-6,2.0318995906846834e-6,2.822452474401483e-7,2.253075075083953e-7,3.6127112874134194e-7
DivideInteger/ExMemory 26/ExMemory 0,1.7982369932725405e-6,1.7555542491131241e-6,1.8419158559507607e-6,1.3749602480467692e-7,1.158835594585913e-7,1.6967470805141087e-7
DivideInteger/ExMemory 26/ExMemory 0,1.974723776227855e-6,1.905539215886187e-6,2.0367097755702614e-6,1.9669195118359517e-7,1.6045946735553892e-7,2.5189179043979125e-7
DivideInteger/ExMemory 26/ExMemory 0,1.7967723327650953e-6,1.7503953351429986e-6,1.8502920227186217e-6,1.809990608259606e-7,1.42636391470124e-7,2.45980112479964e-7
DivideInteger/ExMemory 26/ExMemory 0,1.7238884133030497e-6,1.6833605762351196e-6,1.7706401901624312e-6,1.68184244795204e-7,1.3474228822845184e-7,1.9576746908887707e-7
DivideInteger/ExMemory 26/ExMemory 0,1.7649804182146417e-6,1.7207674987746023e-6,1.8303978324897731e-6,1.5913666407085727e-7,1.2463121227297016e-7,2.0966242611987557e-7
DivideInteger/ExMemory 26/ExMemory 1,1.7318008955290867e-6,1.6958707376714597e-6,1.7712616086554734e-6,1.2270004387016958e-7,9.256238532309841e-8,1.5111682795393904e-7
DivideInteger/ExMemory 26/ExMemory 3,2.04479806346298e-6,1.940867603242663e-6,2.1429283127869157e-6,3.073491014572735e-7,2.6244917106829185e-7,3.7432874549048845e-7
DivideInteger/ExMemory 26/ExMemory 6,2.1707163728285582e-6,2.1375621561321575e-6,2.2240917873433905e-6,1.2789633350396956e-7,9.978381561663161e-8,1.7875236754855116e-7
DivideInteger/ExMemory 26/ExMemory 13,1.943920979171083e-6,1.8705358110196638e-6,2.016115625828369e-6,2.2195576157215404e-7,1.9135838107307734e-7,2.669545459916963e-7
DivideInteger/ExMemory 26/ExMemory 26,1.8943657951707438e-6,1.8411532855175173e-6,1.9913539137408558e-6,2.3932283270333477e-7,2.0902163385705186e-7,2.7255132416729226e-7
DivideInteger/ExMemory 26/ExMemory 264,1.7305977167023576e-6,1.6960579204477467e-6,1.7685965049093065e-6,1.4452260309277218e-7,1.0861322952992928e-7,1.9815628133026956e-7
DivideInteger/ExMemory 26/ExMemory 2641,1.7203685580451847e-6,1.6456411763687906e-6,1.790103820870313e-6,2.430089784689929e-7,1.9155098145056544e-7,3.2613881977237365e-7
DivideInteger/ExMemory 26/ExMemory 26416,1.6254888564268876e-6,1.5650010230880123e-6,1.6828616937172769e-6,1.9296717687037208e-7,1.76698973910291e-7,2.1912522499316912e-7
DivideInteger/ExMemory 26/ExMemory 264160,1.6459256260048266e-6,1.5894682503556414e-6,1.7171389521247202e-6,2.2556770396734911e-7,1.7560882009936713e-7,2.8211036980803025e-7
DivideInteger/ExMemory 26/ExMemory 2641604,1.8123506604858784e-6,1.756151495392872e-6,1.8934089544364354e-6,2.2664930348922582e-7,1.7697175113246743e-7,2.7474344469420023e-7
DivideInteger/ExMemory 264/ExMemory 0,2.769116582463451e-6,2.721096386719275e-6,2.8519502691523527e-6,2.0223965839305123e-7,1.6247203487839097e-7,2.657192905431959e-7
DivideInteger/ExMemory 264/ExMemory 0,2.964846114438982e-6,2.8934212217960038e-6,3.059693871824449e-6,3.02163309704738e-7,2.6306948954830776e-7,3.9004030939379e-7
DivideInteger/ExMemory 264/ExMemory 0,2.7768402776389366e-6,2.7385567170572547e-6,2.8277690807774656e-6,1.6560378480995134e-7,1.2410641071292584e-7,1.9411915058142645e-7
